Security Name,Client Symbol,Ticker,CUSIP,SEDOL,Trading Currency,Shares,Price [USD],Market Value [USD],Weight (%)
"10x Genomics, Inc.",88025U109,NasdaqGS:TXG,,,USD,69.59,13.96,971.45,0.0477
"1-800-FLOWERS.COM, Inc.",68243Q106,NasdaqGS:FLWS,,,USD,6.24,5.10,31.84,0.0016
"1stdibs.Com, Inc.",320551104,NasdaqGM:DIBS,,,USD,5.57,2.77,15.42,0.0008
374Water Inc.,88583P104,NasdaqCM:SCWO,,,USD,64.72,0.39,25.49,0.0013
"4D Molecular Therapeutics, Inc.",35104E100,NasdaqGS:FDMT,,,USD,31.98,7.27,232.50,0.0114
"8x8, Inc.",282914100,NasdaqGS:EGHT,,,USD,115.83,2.07,239.76,0.0118
908 Devices Inc.,65443P102,NasdaqGM:MASS,,,USD,1.83,5.44,9.97,0.0005
"A10 Networks, Inc.",002121101,NYSE:ATEN,,,USD,70.21,17.64,1238.54,0.0608
"AAON, Inc.",000360206,NasdaqGS:AAON,,,USD,68.15,81.15,5530.29,0.2714
AAR Corp.,000361105,NYSE:AIR,,,USD,6.90,75.30,519.19,0.0255
Abercrombie & Fitch Co.,002896207,NYSE:ANF,,,USD,49.82,95.37,4750.95,0.2332
Absci Corporation,00091E109,NasdaqGS:ABSI,,,USD,57.98,2.46,142.63,0.0070
"Academy Sports and Outdoors, Inc.",00402L107,NasdaqGS:ASO,,,USD,18.62,50.86,946.86,0.0465
ACADIA Pharmaceuticals Inc.,004225108,NasdaqGS:ACAD,,,USD,118.52,25.26,2993.89,0.1469
Acadian Asset Management Inc.,10948W103,NYSE:AAMI,,,USD,27.37,44.46,1217.05,0.0597
"Accel Entertainment, Inc.",00436Q106,NYSE:ACEL,,,USD,51.88,11.47,595.06,0.0292
"Accolade, Inc.",00437E102,NasdaqGM:ACCD,,,USD,24.50,0.00,0.00,0.0000
Accuray Incorporated,004397105,NasdaqGS:ARAY,,,USD,89.19,1.51,134.67,0.0066
"Achieve Life Sciences, Inc.",004468500,NasdaqCM:ACHV,,,USD,20.67,2.83,58.50,0.0029
"ACI Worldwide, Inc.",004498101,NasdaqGS:ACIW,,,USD,104.46,50.25,5249.12,0.2576
"ACM Research, Inc.",00108J109,NasdaqGM:ACMR,,,USD,34.61,27.41,948.74,0.0466
"Actinium Pharmaceuticals, Inc.",00507W206,NYSEAM:ATNM,,,USD,29.78,1.58,47.04,0.0023
Acushnet Holdings Corp.,005098108,NYSE:GOLF,,,USD,28.71,76.55,2197.90,0.1079
ACV Auctions Inc.,00091G104,NYSE:ACVA,,,USD,146.56,11.81,1730.86,0.0849
AdaptHealth Corp.,00653Q102,NasdaqCM:AHCO,,,USD,43.86,9.51,417.09,0.0205
Addus HomeCare Corporation,006739106,NasdaqGS:ADUS,,,USD,6.18,113.22,699.93,0.0343
Adeia Inc.,00676P107,NasdaqGS:ADEA,,,USD,90.95,15.43,1403.39,0.0689
"ADMA Biologics, Inc.",000899104,NasdaqGM:ADMA,,,USD,223.05,16.87,3762.82,0.1847
Adtalem Global Education Inc.,00737L103,NYSE:ATGE,,,USD,7.12,134.45,957.15,0.0470
"Advanced Drainage Systems, Inc.",00790R104,NYSE:WMS,,,USD,25.13,148.41,3729.84,0.1830
"Advanced Energy Industries, Inc.",007973100,NasdaqGS:AEIS,,,USD,37.07,153.74,5699.14,0.2797
"Aehr Test Systems, Inc.",00760J108,NasdaqCM:AEHR,,,USD,27.40,25.56,700.37,0.0344
"Aerovate Therapeutics, Inc.",008064107,NasdaqGM:AVTE,,,USD,13.36,0.00,0.00,0.0000
"AeroVironment, Inc.",008073108,NasdaqGS:AVAV,,,USD,25.93,226.08,5861.12,0.2876
"AG Mortgage Investment Trust, Inc.",001228501,NYSE:MITT,,,USD,4.68,7.78,36.37,0.0018
Agenus Inc.,00847G804,NasdaqCM:AGEN,,,USD,2.68,4.33,11.58,0.0006
"agilon health, inc.",00857U107,NYSE:AGL,,,USD,305.54,1.20,366.65,0.0180
"Agilysys, Inc.",00847J105,NasdaqGS:AGYS,,,USD,21.91,110.56,2421.82,0.1189
"AirSculpt Technologies, Inc.",009496100,NasdaqGM:AIRS,,,USD,13.13,5.88,77.20,0.0038
"Airship AI Holdings, Inc.",008940108,NasdaqGM:AISP,,,USD,3.06,4.30,13.15,0.0006
"Akebia Therapeutics, Inc.",00972D105,NasdaqCM:AKBA,,,USD,19.16,2.96,56.71,0.0028
"Akero Therapeutics, Inc.",00973Y108,NasdaqGS:AKRO,,,USD,11.28,44.72,504.44,0.0248
"Akoya Biosciences, Inc.",00974H104,NasdaqGS:AKYA,,,USD,26.32,0.00,0.00,0.0000
Alamo Group Inc.,011311107,NYSE:ALG,,,USD,10.15,209.22,2122.75,0.1042
"Alarm.com Holdings, Inc.",011642105,NasdaqGS:ALRM,,,USD,47.79,56.95,2721.64,0.1336
Albany International Corp.,012348108,NYSE:AIN,,,USD,7.54,62.32,470.02,0.0231
"Aldeyra Therapeutics, Inc.",01438T106,NasdaqCM:ALDX,,,USD,5.03,5.56,27.98,0.0014
"Alector, Inc.",014442107,NasdaqGS:ALEC,,,USD,79.93,3.01,240.58,0.0118
"Alexander's, Inc.",014752109,NYSE:ALX,,,USD,2.13,234.46,498.23,0.0245
"Alignment Healthcare, Inc.",01625V104,NasdaqGS:ALHC,,,USD,99.13,15.86,1572.22,0.0772
"Alimera Sciences, Inc.",016259202,NasdaqGM:ALIM,,,USD,18.76,0.00,0.00,0.0000
"Alkami Technology, Inc.",01644J108,NasdaqGS:ALKT,,,USD,43.62,25.23,1100.53,0.0540
Allient Inc.,019330109,NasdaqGM:ALNT,,,USD,0.81,45.54,36.75,0.0018
Ally Financial Inc.,02005N100,NYSE:ALLY,,,USD,37.25,41.36,1540.66,0.0756
"Alpha Metallurgical Resources, Inc.",020764106,NYSE:AMR,,,USD,10.88,146.35,1592.73,0.0782
"Alphatec Holdings, Inc.",02081G201,NasdaqGS:ATEC,,,USD,101.68,16.40,1667.47,0.0818
Alta Equipment Group Inc.,02128L106,NYSE:ALTG,,,USD,26.56,8.57,227.64,0.0112
Altair Engineering Inc.,021369103,,,,USD,56.62,0.00,0.00,0.0000
"Altimmune, Inc.",02155H200,NasdaqGM:ALT,,,USD,38.27,3.78,144.65,0.0071
"Alto Neuroscience, Inc.",02157Q109,NYSE:ANRO,,,USD,5.32,3.67,19.54,0.0010
ALX Oncology Holdings Inc.,00166B105,NasdaqGS:ALXO,,,USD,32.72,1.22,39.91,0.0020
"Ameresco, Inc.",02361E108,NYSE:AMRC,,,USD,10.66,25.93,276.34,0.0136
American Airlines Group Inc.,02376R102,NasdaqGS:AAL,,,USD,47.03,13.08,615.17,0.0302
American Coastal Insurance Corporation,910710102,NasdaqCM:ACIC,,,USD,10.39,11.37,118.11,0.0058
"American Eagle Outfitters, Inc.",02553E106,NYSE:AEO,,,USD,143.42,18.81,2697.69,0.1324
"American Public Education, Inc.",02913V103,NasdaqGS:APEI,,,USD,1.32,31.60,41.74,0.0020
American States Water Company,029899101,NYSE:AWR,,,USD,20.75,74.66,1549.27,0.0760
American Superconductor Corporation,030111207,NasdaqGS:AMSC,,,USD,33.81,48.88,1652.68,0.0811
American Woodmark Corporation,030506109,NasdaqGS:AMWD,,,USD,0.94,68.44,64.40,0.0032
"AMERISAFE, Inc.",03071H100,NasdaqGS:AMSF,,,USD,8.11,45.87,372.10,0.0183
"Amicus Therapeutics, Inc.",Amicus Therapeutics Inc,NasdaqGM:FOLD,,,USD,290.61,7.99,2321.95,0.1140
"AMN Healthcare Services, Inc.",001744101,NYSE:AMN,,,USD,37.54,20.85,782.65,0.0384
"Amneal Pharmaceuticals, Inc.",03168L105,NasdaqGS:AMRX,,,USD,132.23,9.62,1272.04,0.0624
"Amphastar Pharmaceuticals, Inc.",03209R103,NasdaqGS:AMPH,,,USD,38.10,29.42,1120.99,0.0550
"Amplitude, Inc.",03213A104,NasdaqCM:AMPL,,,USD,75.66,11.43,864.75,0.0424
"Amprius Technologies, Inc.",03214Q108,NYSE:AMPX,,,USD,13.88,7.11,98.67,0.0048
"AnaptysBio, Inc.",032724106,NasdaqGS:ANAB,,,USD,19.38,21.90,424.38,0.0208
Anavex Life Sciences Corp.,032797300,NasdaqGS:AVXL,,,USD,19.03,9.40,178.91,0.0088
"Angel Oak Mortgage REIT, Inc.",03464Y108,NYSE:AOMR,,,USD,4.01,10.05,40.32,0.0020
"ANI Pharmaceuticals, Inc.",00182C103,NasdaqGM:ANIP,,,USD,12.99,95.35,1238.22,0.0608
"Anika Therapeutics, Inc.",035255108,NasdaqGS:ANIK,,,USD,2.74,8.94,24.50,0.0012
Anterix Inc.,03676C100,NasdaqCM:ATEX,,,USD,11.10,21.97,243.76,0.0120
Antero Midstream Corporation,03676B102,NYSE:AM,,,USD,129.21,18.25,2358.08,0.1157
Apartment Investment and Management Company,03748R747,NYSE:AIV,,,USD,67.63,7.83,529.51,0.0260
"Apellis Pharmaceuticals, Inc.",03753U106,NasdaqGS:APLS,,,USD,104.21,28.13,2931.46,0.1439
