Security Name,Ticker,Shares,Price [USD],Market Value [USD],Weight (%),Industry,Sector
Addus HomeCare Corporation,ADUS,6377,102.86,655938.22,2.425990743,Medical Care Facilities,Healthcare
"ADMA Biologics, Inc.",ADMA,41712,24.11,1005676.32,3.719498832,Biotechnology,Healthcare
Artisan Partners Asset Management Inc.,APAM,16320,37.56,612979.2,2.267106596,Asset Management,Financial Services
Avery Dennison Corporation,AVY,2050,171.72,352026,1.301969898,Packaging & Containers,Consumer Cyclical
Bruker Corporation,BRKR,5404,39.84,215295.36,0.796270951,Medical Devices,Healthcare
"BWX Technologies, Inc.",BWXT,7836,109.24,856004.64,3.165937385,Aerospace & Defense,Industrials
"Commvault Systems, Inc.",CVLT,5064,168.73,854448.72,3.160182807,Software - Application,Technology
Corcept Therapeutics Incorporated,CORT,3914,73.23,286622.22,1.060073695,Biotechnology,Healthcare
"DICK'S Sporting Goods, Inc.",DKS,3471,192.01,666466.71,2.464930416,Specialty Retail,Consumer Cyclical
"e.l.f. Beauty, Inc.",ELF,2904,62.17,180541.68,0.667734294,Household & Personal Products,Consumer Defensive
"EMCOR Group, Inc.",EME,1217,413.02,502645.34,1.85903627,Engineering & Construction,Industrials
"Exelixis, Inc.",EXEL,16511,38.55,636499.05,2.354094877,Biotechnology,Healthcare
"ExlService Holdings, Inc.",EXLS,21285,44.98,957399.3,3.540946035,Information Technology Services,Technology
Fabrinet,FN,4996,207.55,1036919.8,3.835052997,Electronic Components,Technology
FactSet Research Systems Inc.,FDS,1169,428.71,501161.99,1.853550093,Financial Data & Stock Exchanges,Financial Services
"Halozyme Therapeutics, Inc.",HALO,3614,60.82,219803.48,0.812944255,Biotechnology,Healthcare
"Inspire Medical Systems, Inc.",INSP,5183,159.93,828917.19,3.065754317,Medical Devices,Healthcare
"InterDigital, Inc.",IDCC,5863,200.53,1175707.39,4.348359583,Software - Application,Technology
IRADIMED CORPORATION,IRMD,10602,53.7,569327.4,2.105660198,Medical Devices,Healthcare
"Ironwood Pharmaceuticals, Inc.",IRWD,26147,0.94,24583.41,0.090921863,Drug Manufacturers - Specialty & Generic,Healthcare
"KBR, Inc.",KBR,11779,52.88,622873.52,2.303700787,Engineering & Construction,Industrials
Lamar Advertising Company,LAMR,8742,114.53,1001221.26,3.703021771,REIT - Specialty,Real Estate
"Lantheus Holdings, Inc.",LNTH,12173,103.96,1265505.08,4.680476783,Semiconductor Equipment & Materials,Technology
"Napco Security Technologies, Inc.",NSSC,9258,22.87,211730.46,0.783086151,Drug Manufacturers - Specialty & Generic,Healthcare
"Neurocrine Biosciences, Inc.",NBIX,6466,107.24,693413.84,2.564594509,Security & Protection Services,Industrials
Nextracker Inc.,NXT,4877,43.07,210052.39,0.776879801,Medical Care Facilities,Healthcare
Onto Innovation Inc.,ONTO,7305,122.28,893255.4,3.303709505,Solar,Technology
"Option Care Health, Inc.",OPCH,6389,30.69,196078.41,0.725196967,Electronic Components,Technology
"OSI Systems, Inc.",OSIS,5864,203.12,1191095.68,4.40527325,Recreational Vehicles,Consumer Cyclical
"Patrick Industries, Inc.",PATK,10669,78.52,837729.88,3.098348095,Software - Application,Technology
Paylocity Holding Corporation,PCTY,2251,192.33,432934.83,1.601211605,Software - Infrastructure,Technology
"Qualys, Inc.",QLYS,5540,128.43,711502.2,2.631494398,Trucking,Industrials
"Saia, Inc.",SAIA,2905,236.65,687468.25,2.542604715,Software - Application,Technology
"Sprouts Farmers Market, Inc.",SFM,8827,172.3,1520892.1,5.625026937,Banks - Regional,Financial Services
"SPS Commerce, Inc.",SPSC,3050,142,433100,1.601822487,Engineering & Construction,Industrials
"Sterling Infrastructure, Inc.",STRL,1028,149.28,153459.84,0.567571975,Specialty Industrial Machinery,Industrials
Tennant Company,TNC,13453,72.89,980589.17,3.626713884,Engineering & Construction,Industrials
"Tetra Tech, Inc.",TTEK,26996,31.27,844164.92,3.122148122,Grocery Stores,Consumer Defensive
"The Bancorp, Inc.",TBBK,29263,48.75,1426571.25,5.276180808,Electronic Components,Technology
