Security Name,Ticker,Shares,Price [USD],Market Value [USD],Weight (%),industry,sector
"10x Genomics, Inc.",TXG,69.59,13.96,971.45,0.0477,Health Information Services,Healthcare
"1-800-FLOWERS.COM, Inc.",FLWS,6.24,5.1,31.84,0.0016,Specialty Retail,Consumer Cyclical
"1stdibs.Com, Inc.",DIBS,5.57,2.77,15.42,0.0008,Internet Content & Information,Communication Services
374Water Inc.,SCWO,64.72,0.39,25.49,0.0013,Pollution & Treatment Controls,Industrials
"4D Molecular Therapeutics, Inc.",FDMT,31.98,7.27,232.5,0.0114,Biotechnology,Healthcare
"8x8, Inc.",EGHT,115.83,2.07,239.76,0.0118,Software - Application,Technology
908 Devices Inc.,MASS,1.83,5.44,9.97,0.0005,Medical Devices,Healthcare
"A10 Networks, Inc.",ATEN,70.21,17.64,1238.54,0.0608,Software - Infrastructure,Technology
"AAON, Inc.",AAON,68.15,81.15,5530.29,0.2714,Building Products & Equipment,Industrials
AAR Corp.,AIR,6.9,75.3,519.19,0.0255,Aerospace & Defense,Industrials
Abercrombie & Fitch Co.,ANF,49.82,95.37,4750.95,0.2332,Apparel Retail,Consumer Cyclical
Absci Corporation,ABSI,57.98,2.46,142.63,0.007,Biotechnology,Healthcare
"Academy Sports and Outdoors, Inc.",ASO,18.62,50.86,946.86,0.0465,Specialty Retail,Consumer Cyclical
ACADIA Pharmaceuticals Inc.,ACAD,118.52,25.26,2993.89,0.1469,Biotechnology,Healthcare
Acadian Asset Management Inc.,AAMI,27.37,44.46,1217.05,0.0597,Asset Management,Financial Services
"Accel Entertainment, Inc.",ACEL,51.88,11.47,595.06,0.0292,Gambling,Consumer Cyclical
Accuray Incorporated,ARAY,89.19,1.51,134.67,0.0066,Medical Devices,Healthcare
"Achieve Life Sciences, Inc.",ACHV,20.67,2.83,58.5,0.0029,Biotechnology,Healthcare
"ACI Worldwide, Inc.",ACIW,104.46,50.25,5249.12,0.2576,Software - Infrastructure,Technology
"ACM Research, Inc.",ACMR,34.61,27.41,948.74,0.0466,Semiconductor Equipment & Materials,Technology
"Actinium Pharmaceuticals, Inc.",ATNM,29.78,1.58,47.04,0.0023,Biotechnology,Healthcare
Acushnet Holdings Corp.,GOLF,28.71,76.55,2197.9,0.1079,Leisure,Consumer Cyclical
ACV Auctions Inc.,ACVA,146.56,11.81,1730.86,0.0849,Auto & Truck Dealerships,Consumer Cyclical
AdaptHealth Corp.,AHCO,43.86,9.51,417.09,0.0205,Medical Devices,Healthcare
Addus HomeCare Corporation,ADUS,6.18,113.22,699.93,0.0343,Medical Care Facilities,Healthcare
Adeia Inc.,ADEA,90.95,15.43,1403.39,0.0689,Software - Application,Technology
"ADMA Biologics, Inc.",ADMA,223.05,16.87,3762.82,0.1847,Biotechnology,Healthcare
Adtalem Global Education Inc.,ATGE,7.12,134.45,957.15,0.047,Education & Training Services,Consumer Defensive
"Advanced Drainage Systems, Inc.",WMS,25.13,148.41,3729.84,0.183,Building Products & Equipment,Industrials
"Advanced Energy Industries, Inc.",AEIS,37.07,153.74,5699.14,0.2797,Electrical Equipment & Parts,Industrials
"Aehr Test Systems, Inc.",AEHR,27.4,25.56,700.37,0.0344,Semiconductor Equipment & Materials,Technology
"AeroVironment, Inc.",AVAV,25.93,226.08,5861.12,0.2876,Aerospace & Defense,Industrials
"AG Mortgage Investment Trust, Inc.",MITT,4.68,7.78,36.37,0.0018,REIT - Mortgage,Real Estate
Agenus Inc.,AGEN,2.68,4.33,11.58,0.0006,Biotechnology,Healthcare
"agilon health, inc.",AGL,305.54,1.2,366.65,0.018,Medical Care Facilities,Healthcare
"Agilysys, Inc.",AGYS,21.91,110.56,2421.82,0.1189,Software - Application,Technology
"AirSculpt Technologies, Inc.",AIRS,13.13,5.88,77.2,0.0038,Medical Care Facilities,Healthcare
"Airship AI Holdings, Inc.",AISP,3.06,4.3,13.15,0.0006,Software - Infrastructure,Technology
"Akebia Therapeutics, Inc.",AKBA,19.16,2.96,56.71,0.0028,Drug Manufacturers - Specialty & Generic,Healthcare
Alamo Group Inc.,ALG,10.15,209.22,2122.75,0.1042,Farm & Heavy Construction Machinery,Industrials
"Alarm.com Holdings, Inc.",ALRM,47.79,56.95,2721.64,0.1336,Software - Application,Technology
Albany International Corp.,AIN,7.54,62.32,470.02,0.0231,Textile Manufacturing,Consumer Cyclical
"Aldeyra Therapeutics, Inc.",ALDX,5.03,5.56,27.98,0.0014,Biotechnology,Healthcare
"Alector, Inc.",ALEC,79.93,3.01,240.58,0.0118,Biotechnology,Healthcare
"Alexander's, Inc.",ALX,2.13,234.46,498.23,0.0245,Software - Application,Technology
"Alignment Healthcare, Inc.",ALHC,99.13,15.86,1572.22,0.0772,Healthcare Plans,Healthcare
"Alimera Sciences, Inc.",ALIM,18.76,0,0,0,REIT - Retail,Real Estate
"Alkami Technology, Inc.",ALKT,43.62,25.23,1100.53,0.054,Electronic Components,Technology
Allient Inc.,ALNT,0.81,45.54,36.75,0.0018,Credit Services,Financial Services
Ally Financial Inc.,ALLY,37.25,41.36,1540.66,0.0756,Coking Coal,Basic Materials
"Alpha Metallurgical Resources, Inc.",AMR,10.88,146.35,1592.73,0.0782,Medical Devices,Healthcare
"Alphatec Holdings, Inc.",ATEC,101.68,16.4,1667.47,0.0818,Biotechnology,Healthcare
Alta Equipment Group Inc.,ALTG,26.56,8.57,227.64,0.0112,Biotechnology,Healthcare
"Altimmune, Inc.",ALT,38.27,3.78,144.65,0.0071,Rental & Leasing Services,Industrials
"Alto Neuroscience, Inc.",ANRO,5.32,3.67,19.54,0.001,Biotechnology,Healthcare
ALX Oncology Holdings Inc.,ALXO,32.72,1.22,39.91,0.002,Engineering & Construction,Industrials
"Ameresco, Inc.",AMRC,10.66,25.93,276.34,0.0136,Airlines,Industrials
American Airlines Group Inc.,AAL,47.03,13.08,615.17,0.0302,Insurance - Property & Casualty,Financial Services
American Coastal Insurance Corporation,ACIC,10.39,11.37,118.11,0.0058,Apparel Retail,Consumer Cyclical
"American Eagle Outfitters, Inc.",AEO,143.42,18.81,2697.69,0.1324,Utilities - Regulated Water,Utilities
"American Public Education, Inc.",APEI,1.32,31.6,41.74,0.002,Specialty Industrial Machinery,Industrials
American States Water Company,AWR,20.75,74.66,1549.27,0.076,Education & Training Services,Consumer Defensive
American Superconductor Corporation,AMSC,33.81,48.88,1652.68,0.0811,Insurance - Specialty,Financial Services
American Woodmark Corporation,AMWD,0.94,68.44,64.4,0.0032,Medical Care Facilities,Healthcare
"AMERISAFE, Inc.",AMSF,8.11,45.87,372.1,0.0183,Biotechnology,Healthcare
"Amicus Therapeutics, Inc.",FOLD,290.61,7.99,2321.95,0.114,"Furnishings, Fixtures & Appliances",Consumer Cyclical
"AMN Healthcare Services, Inc.",AMN,37.54,20.85,782.65,0.0384,Drug Manufacturers - Specialty & Generic,Healthcare
