MTUM,QUAL,SIZE,VLUE
193.4316406,162.9997253,137.8020935,99.61713409
179.7121582,153.9689636,130.0053406,93.72106934
181.2497864,153.0777435,128.4203796,93.36906433
179.3947296,150.9289856,126.1561737,91.42327118
198.1932678,164.0295563,138.018692,98.55134583
191.7154541,159.1279755,131.0586853,95.0508728
194.4930878,161.851059,133.1555481,96.23399353
196.2191772,163.2373962,136.0990295,97.42689514
197.3103638,162.8313904,135.5378876,97.32911682
193.1439514,159.4349213,133.8052826,95.91131592
193.7887878,159.8508453,134.6223755,96.45888519
188.4219971,156.3157806,131.9151611,94.77708435
194.2053986,160.1875153,135.173645,96.83043671
198.7289429,162.0689392,136.8275299,98.25801849
203.1830902,165.1881256,139.4264374,99.7931366
205.1373138,166.0892029,139.0326691,99.26512909
206.0995636,166.2377472,139.8005371,99.81269836
207.6371918,167.2378693,140.3321381,100.1158142
207.9546356,167.71315,140.4600983,100.2820358
209.8295441,167.7527771,140.4699554,100.389595
214.6506958,170.5947113,142.7637177,102.1300507
214.313385,170.0203705,142.3994446,101.7389526
212.3591614,168.3667145,141.5528412,101.1816101
213.9562683,169.2975311,142.4093018,101.6118317
215.9006042,169.7926331,143.3740692,102.6678467
215.4740753,169.2480164,143.5906372,102.73629
221.4657898,174.614975,147.4004059,105.659874
225.6520538,174.921936,148.0206299,105.9043198
226.6738281,174.9912567,147.2527618,105.0047607
227.1103058,176.1894073,148.5817413,106.4029999
228.8264923,177.3875885,149.9107513,107.1167831
229.3522491,177.9124146,149.8615265,107.038559
228.4891968,177.2093658,149.4185181,106.8430023
224.3227692,174.3971405,146.3076935,104.6234207
224.4517212,174.1000824,145.9926605,104.1149673
223.9259644,172.3077698,145.4610596,103.6456223
228.7372131,175.8428497,147.9517059,105.366539
228.2808685,174.6644897,146.671936,104.5158615
228.4792938,175.1596069,147.2330627,104.6429749
229.6895294,175.3279572,147.3610382,104.6136398
231.6338654,176.1102142,147.3708954,104.6820755
232.4274902,177.2093658,148.680191,105.9532166
231.8520966,177.872818,148.3946991,105.7087708
229.5605621,177.4073944,148.0009155,105.6109924
230.8799438,178.6352844,149.3496094,106.8527832
229.6002502,177.9817352,149.3003845,107.3612366
229.5109711,179.3779297,149.8615265,108.700798
230.5128937,178.8036041,149.3102112,108.1141281
230.4335175,179.4175415,149.674469,108.3096771
228.419754,176.5360107,147.7449646,107.0483398
230.3392487,178.1416626,149.2190857,108.3635101
228.5897369,176.4347839,147.9741974,107.3200226
228.8979034,175.234024,148.1125031,107.6744156
228.9277039,174.3011627,148.2903442,107.9598999
232.8342896,176.2462311,149.6044006,108.8458633
235.4784393,178.2409058,151.125946,110.3126221
233.7985077,178.0027466,149.9699554,109.6727753
235.7170258,178.9951019,151.0765381,110.6670151
236.2935486,180.2058258,151.7582703,110.8442078
238.8880157,181.4264526,152.6869965,111.4447021
235.3989258,182.0317841,153.9219971,113.0886536
235.4883881,182.5379181,154.6728973,113.3839798
237.9436646,183.5600586,155.265686,113.9943161
237.1484375,182.2005005,153.9417725,112.6358261
235.0211945,182.4088745,154.2085266,113.4824219
236.4724884,183.5302887,154.8507233,113.6202393
236.1941528,183.5203552,155.4534149,114.220726
234.8422546,182.4585114,153.9812775,113.2855453
237.7846222,182.4982147,154.6432495,113.1870956
235.8164215,181.2279663,152.5387878,111.7203293
236.7408905,181.9821777,153.1809845,111.5825195
237.8442688,183.0737915,154.475296,112.2125397
237.6454773,182.6272278,154.72229,112.1928482
238.1225891,183.0142517,154.1788788,112.251915
236.1444397,183.4211273,155.8782654,113.0689697
238.9277802,184.8302765,157.0243378,114.6932449
238.1723022,184.7310333,156.6587982,113.7383728
239.8522186,185.4654236,157.4689636,113.8072662
239.3055115,185.3562622,156.7378235,113.3150711
239.2558136,184.611969,156.5698547,113.009903
239.9118652,183.867691,155.5028229,112.5177002
239.8522186,182.7165375,154.2776794,111.1887512
237.3571777,180.9401703,152.5289154,109.810585
240.8959656,184.0363922,154.6827545,110.9328079
239.6931763,182.4783783,154.603714,111.2773514
242.6057281,183.9768524,154.6333618,111.3167343
242.4168549,182.7165375,153.6651154,111.4742279
244.1961975,184.2348633,153.5070343,112.6555252
244.2359619,183.8875427,152.7363892,112.5570755
246.3830872,185.8028259,155.018692,114.6932449
244.7926178,187.2616119,156.9255371,115.8942261
244.4944,187.1723022,155.7893372,116.0812454
243.4009552,186.6761169,155.1866608,115.1263809
243.381073,186.6661987,155.0088196,115.4020157
240.6673431,186.1203918,156.1055145,116.0320358
241.4128571,185.7234344,155.9375458,115.2149811
240.0908051,185.1379395,155.4139099,114.9491882
