ADUS,APAM,BLBD,BPOP,BWXT,COLL,CORT,CRS,DORM,EME,EXEL,EXLS,FDS,FN,HALO,HROW,IDCC,IRMD,IRWD,IWO,IWP,KBR,LAMR,LNTH,MIRM,NBIX,NSSC,NTNX,NXT,ONTO,OPCH,OSIS,PEN,POWL,QLYS,SFM,SN,SPSC,STRL,TBBK,TILE,TMDX,TTEK,VTWG,YOU
97,31.76654434,32.09000015,79.82025146,89.43452454,27.37999916,74.65000153,152.6663818,113.8399963,349.7550354,34.84000015,42.22999954,399.7746277,179.4199982,59.34999847,23.09000015,193.7333679,48.65048599,1.269999981,229.6835022,105.7424622,45.52485275,99.58885193,95.44999695,41,93.25,19.95730972,58.61999893,37.90000153,111.6500015,32.86999893,178.7700043,263.4899902,56.05385208,116.9899979,147.2899933,70.23999786,123.2799988,109.0999985,40.93000031,18.07280159,69.15000153,28.00952911,167.1861115,24.07967758
96.31999969,30.99733925,31.28000069,79.61543274,92.56404114,25.40999985,70.48999786,150.7828674,112.7600021,353.5272217,34.13000107,41.84999847,393.1409607,174.0200043,57.54000092,22.20000076,189.1697083,47.96068192,1.110000014,223.0756226,103.9883881,46.06681442,97.18648529,93.41000366,39.31999969,87.54000092,19.52388382,58.16999817,37,105.5999985,32.79000092,174.2200012,255.8200073,54.38030624,115.2099991,144.6300049,65.63999939,121.6100006,113.8300018,42.02999878,17.73387718,67.94999695,27.81095314,162.4400024,23.50098228
101,34.01007843,33.90999985,84.76512909,103.4030914,26.37000084,72.97000122,174.4317322,118.4300003,390.1911926,35.34000015,44.97000122,420.7106323,201.8999939,60.65000153,24.90999985,205.6347961,51.00564957,1.029999971,244.3024445,115.1606216,49.78172684,107.9449005,100.1600037,41.47000122,95.27999878,21.57280731,65.76999664,39.22999954,133.3699951,33.56000137,191.1600037,275.4599915,60.82213593,125.7300034,153.6600037,78.75,135.8399963,134.5299988,46.99000168,19.44844818,75.41000366,29.65773582,177.969101,25.68826103
101.7699966,32.05958176,33.65000153,80.29816437,100.3629837,24.67000008,67.73000336,167.1865997,113.8700027,374.4239197,34.45999908,44.02000046,410.725647,182.8000031,57.70000076,23.47999954,201.1461182,49.36984253,1.00999999,234.3906097,110.7056808,48.23466492,104.146698,98.51000214,39.11999893,90.72000122,20.69610405,62.04000092,37.75,118.0299988,33.68999863,184.4400024,268.5700073,57.43186951,122.7799988,153.9199982,72.80999756,130.0800018,132.4100037,42.95999908,18.76062584,76.37000275,29.05206871,170.710907,25.39400673
100.8499985,32.4808197,34.18999863,80.16161346,102.5784836,26.29999924,68.62000275,170.295929,111.8600006,382.9362488,35.31000137,44.93999863,419.3503723,189.1100006,60.22000122,24.09000015,200.5303955,51.5279274,0.949999988,238.8190918,112.150795,49.5945015,107.3087006,102,39.58000183,90.87000275,21.26743698,59.29999924,39.22999954,120.4000015,31.54999924,189.5099945,272.3200073,57.51820755,124.0999985,157.2700043,73.52999878,131.6900024,137.0899963,43.63000107,18.76062584,80.58000183,29.97546005,173.9577179,26.50235939
102.1699982,32.67311859,35.31999969,81.21496582,103.1944504,26.72999954,67.43000031,172.4286194,113.5,384.9920044,35.74000168,45.47000122,426.8021851,190.1900024,61.38999939,24.39999962,200.3615875,52.2571373,0.649999976,241.3368378,113.2470779,49.84084702,105.5615234,102.1299973,39.59000015,94.88999939,21.75011635,60.38999939,40.72999954,120.7699966,31.84000015,192.6999969,270.269989,57.10314178,123.2399979,160.2700043,74.48999786,130.1799927,135.2299957,45.24000168,18.73072052,86.83999634,30.2038269,175.9435272,26.79661179
99.23999786,32.48997498,33.70000076,82.36584473,103.4030914,27.12000084,69.58999634,174.2523651,111.4100037,389.2930908,36.54000092,45.88999939,429.9859619,188.5099945,61.27999878,23.79000092,201.5234833,51.20273209,0.720000029,241.3766479,113.9447403,49.51567078,103.8428421,102.7799988,38.63000107,96.16000366,21.31669044,62.84999847,40.56999969,120.4700012,32.25999832,193.1000061,272.2600098,57.5480957,123.9700012,160.1900024,74.68000031,130.75,141,46.06000137,18.90018272,87.18000031,29.76695251,175.9634247,26.66910172
101,31.94969177,33.25,81.829422,103.1845169,27.02000046,64.59999847,171.5914612,111.6699982,381.6090088,36.15000153,45.47999954,421.1147461,186.6999969,58.81999969,23.35000038,195.6147308,51.20273209,0.75,238.0030365,112.1109314,49.56493759,101.6303864,100.5199966,38.75,100.0999985,21.27728844,61.86999893,39.72000122,114.8899994,32.27000046,189.3500061,277.7900085,55.43623734,121.3499985,159.4400024,73.66000366,128.6600037,140.4400024,45.63999939,18.60113144,85.37999725,29.63787842,173.1137695,25.75691795
101.25,32.08705521,33.70999908,83.692276,103.0354919,27.01000023,62.24000168,169.6282196,111.1800003,378.2737122,36.18999863,44.88999939,420.9373169,183.6600037,58.79000092,23.98999977,187.9581757,51.01551056,0.730000019,239.6948242,112.9381409,49.77186584,103.4915009,101.3199997,39.09999847,101.3799973,21.36594391,61.63000107,40.29999924,114.9899979,32.02000046,194.1900024,277.3500061,55.53253174,120.6200027,160.1499939,74.19999695,129.0599976,140.2700043,45.59999847,18.52138138,88.23999786,30.00524712,174.6130524,26.18848991
97.27999878,31.30868912,33.70999908,83.95561218,99.80662537,26.90999985,62.90000153,167.0271301,108.2900009,362.1965027,35.59000015,43.31000137,407.118042,172.5,57.29000092,23.23999977,182.0990295,50.03993225,0.699999988,233.6243439,109.6592178,49.3678627,102.1811295,100.6200027,38.38999939,100.6800003,21.09012794,58.54000092,39.27999878,112.1500015,31.25,188.0399933,270.6400146,52.92259979,117.2300034,158.5299988,71.77999878,126.9899979,131.5700073,43.50999832,17.82358932,87.72000122,29.78680992,170.3733215,24.4523983
98.04000092,32.55406952,35.06000137,87.27170563,101.6445999,26.88999939,64.68000031,176.9849243,110.5299988,372.6716614,36.47999954,43.40000153,417.8915405,177.1399994,58.20999908,22.90999985,185.6939697,51.33084106,0.720000029,239.8839111,112.7288361,50.05762863,104.9063339,99.56999969,39.43000031,101.7399979,21.44474983,59.77999878,40.36000061,114.2099991,31.54000092,189.4199982,277.2200012,55.07098007,119.5,163.3000031,74.47000122,129.7200012,133.9199982,45.81999969,18.11267662,91.20999908,30.43218994,174.9208527,25.14879608
98.86000061,33.05772018,34.5,92.45065308,103.9594421,25.98999977,69.26999664,190.3051758,111.4599991,383.5861816,36.77999878,44.08000183,419.4291992,186.8200073,58.40999985,23.82999992,190.2124329,51.96151352,0.769999981,244.7004852,115.5592728,50.99374771,105.1627121,101.1999969,39.61999893,103.2200012,21.66146278,63.29999924,40.13000107,119.9899979,32.11000061,193.5800018,278.769989,57.99968719,121.7399979,164.6699982,77.26000214,132.5200043,140.0800018,48.38000107,18.21236038,92.25,30.70027351,178.2371674,25.25668907
99.54000092,34.03754425,35.29000092,93.57228851,107.2280502,26.78000069,71.79000092,198.9558563,114.1999969,400.0528564,37.20999908,44.81999969,422.0216064,199,59.25,25.06999969,190.331604,52.35568619,0.879999995,250.4425812,118.8780441,52.71817017,106.5680542,103.6399994,40.47000122,105.7600021,22.42980957,65.73999786,42.34999847,125.7099991,32.18000031,202.3099976,298.25,61.21063614,124.8899994,166.6799927,79.27999878,139.0299988,146,49.68999863,18.5413208,94.18000031,31.27615166,182.6059875,25.25668907
100.5800018,33.92765808,35.79000092,93.57228851,108.2612839,26.79000092,71.70999908,198.5567474,114.3899994,409.6592407,37.43000031,44.43000031,418.3942566,200.5500031,60.49000168,25.54999924,192.4071045,52.54291153,0.889999986,251.1889648,119.7351532,52.27474976,106.4636002,101.7699966,40.79999924,106.7300034,22.53816223,67.16000366,43.65000153,125.5899963,32.90000153,201.6799927,299.7799988,61.96107483,126.75,168.0299988,79.77999878,137.8099976,151.75,47.99000168,18.6908474,93.5,30.98821068,183.022995,24.82511711
101.0299988,34.08333588,35.59999847,93.72832489,107.8042755,26.87000084,70.94999695,198.5567474,111.3099976,409.6792297,38.43999863,44.45999908,416.8467102,203.0299988,60.56999969,24.64999962,193.2114716,52.24729156,0.970000029,252.0547485,120.2234879,52.13679504,108.0588455,102.6999969,41.31000137,106.4599991,22.43965721,67.88999939,43.20000076,124.7300034,32.97000122,201.5,297.3200073,61.53604889,126.25,169.7599945,80.09999847,139.5299988,149.5599976,47.70999908,18.64100647,90.19000244,30.97828102,183.6088104,24.57990837
102.8600006,34.39468384,35.35499954,94.41105652,108.5295258,27.60000038,73.23000336,197.0002441,112.0899963,412.4353027,38.54999924,44.97999954,422.5735779,207.5500031,60.81999969,24.67000008,199.1401215,52.91737747,0.939999998,253.8061981,120.9311066,52.10723877,108.7520218,103.9599991,42.54000092,107.2399979,22.5283165,68.51999664,43.06999969,122.2799988,30.69000053,203.1199951,296.9100037,61.71203995,128.4299927,172.3000031,81.41000366,142,149.2799988,48.75,18.93008995,92.43000031,31.04778481,185.0187378,24.82511711
